21	7	24	10
27	7	30	10
33	6	36	9
40	7	43	10
46	8	49	11
52	7	55	10
59	7	62	10
19	12	22	15
26	13	29	16
32	13	35	16
39	13	42	16
46	14	49	17
52	13	55	16
58	13	61	16
19	19	22	22
27	19	30	22
33	20	36	23
39	19	42	22
45	19	48	22
52	20	55	23
58	21	61	24
18	25	21	28
25	25	28	28
31	25	34	28
39	26	42	29
44	25	47	28
51	26	54	29
57	26	60	29
19	31	22	34
26	32	29	35
32	32	35	35
38	32	41	35
45	32	48	35
51	32	54	35
58	32	61	35
18	38	21	41
25	38	28	41
31	38	34	41
37	38	40	41
44	38	47	41
50	38	53	41
57	39	60	42
18	44	21	47
25	44	28	47
32	44	35	47
38	45	41	48
45	45	48	48
51	45	54	48
57	45	60	48
